所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
,,,,,,,,,,,,,,,
東灘区,幼稚園（私学助成制度）,甲南幼稚園,(学),100,住吉本町１－１２－１,841-1201,,○,-,１７：３０,-,-,-,-,○
東灘区,幼稚園（私学助成制度）,群華幼稚園,（学）,110,御影郡家１－２３－１９,851-7274,,○,-,１６：３０,-,-,-,○,-
東灘区,幼稚園（私学助成制度）,本山幼稚園,（個人）,100,本山北町６－４－１,411-6314,,○,７：３０,17：００,-,週２日,-,満２歳,-
東灘区,幼稚園（新制度）,光の園幼稚園,(学),160,岡本１－１４－１２,452-4848,,○,８：００,１７：３０,-,週２日,-,○,○
東灘区,幼稚園（私学助成制度）,岡本信愛幼稚園,(学),200,岡本２－１１－２０,411-1441,,○,７：００,１９：００,-,週４日,-,-,-
東灘区,幼稚園（新制度）,甲南同胞幼稚園,（宗）,135,田中町３－９－１４,411-8920,,○,-,１６：３０,-,-,-,○,○
東灘区,幼保連携型認定こども園,(仮称)幼保連携型認定こども園 茅渟の浦幼稚園,(学),120,鴨子ヶ原３－１７－２７,851-4142,,○,７：３０,１８：３０,○,週２日,-,○,○
東灘区,幼稚園（私学助成制度）,住吉学園幼稚園,(学),180,住吉本町３－３－４,851-0246,,○,-,-,-,-,-,-,○
東灘区,幼稚園（私学助成制度）,青い鳥学園第１幼稚園,(学),320,深江北町２－９－２２,411-2284,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼稚園（私学助成制度）,青い鳥学園第2幼稚園,(学),360,本山南町４－３－１,411-2820,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼保連携型認定こども園,(仮称)幼保連携型認定こども園 渦が森幼稚園,(学),186,渦森台１－８－１,841-7189,,○,-,１７：００,○,週２日,-,○,○
東灘区,幼稚園（私学助成制度）,星の園幼稚園,(学),120,住吉宮町２－１８－２３,811-5559,,○,８：３０,１７：００,-,週１日,-,○,○
東灘区,幼稚園（私学助成制度）,頌栄幼稚園,(学),100,御影山手１－１８－１,842-2890,,○,-,１８：００,-,-,-,満２歳,○
東灘区,幼稚園（私学助成制度）,六甲アイランド幼稚園,(学),530,向洋町中６－１,857-1566,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼稚園型認定こども園,認定こども園 夢の星幼稚園,(学),385,向洋町中３－１－３,857-3166,,○,７：３０,１８：３０,○,週５日,-,○,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 聖二コラス天使園,（福）,99,北青木４－１－３７,412-6080,○,,８：００,１９：００,-,週５日,-,-,-
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 本山北町あすのこども園,（福）,160,本山北町３－２－２８,441-1905,○,,-,１６：００,-,週５日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園 魚崎COCORO,（福）,135,魚崎西町２－４－１,858-5561,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 きらり保育園,（福）,103,本庄町１－３－１,412-0415,,○,８：００,１８：３０,-,週5日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 きたおおぎこども園,（福）,145,北青木１－１－２,411-5421,,○,８：３０,１８：００,-,週５日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園 松蔭おかもと保育園,（福）,66,岡本７－３－１４,262-1150,,○,７：００,１９：００,-,週５日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 同朋住吉台こども園,（福）,65,住吉台２５－７,846-6011,○,,７：００,１８：００,-,週５日,-,-,〇
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 甲南すこやかこども園,（福）,96,魚崎北町２－１０－１０,453-4152,,○,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 モーツァルトこども園,（福）,105,本山南町８－３－３,431‐3111,,○,７：００,１８：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園 あおい宙,（福）,105,本山南町７－５－２１,441-2444,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,光の子認定こども園,（福）,210,向洋町中２－３,857-1577,,○,７：００,２０：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 ふかえ虹こども園,（福）,105,深江本町４－１－１２,413-4124,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 おかもと虹こども園,（福）,85,岡本３－２－６,412-2262,○,,７：００,１９：００,-,週６日,-,-,○
