,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保,,,,,,,保育所・認定こども,,,,,園・地,,地域型保,保育事,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,事業　施設一覧（２号・３号認定子ども,,,,も用,用,用,用） 平成28年4月1日時点,,,,,,,,
,,,,,,,,,平成28年4月1日時点,,,,,,,,,,,,,,,,,,,,,,
,,,,,分類,施設名,,組織,,利用定員 （2・3号）,,,,所在地,,,電話番号,受入開始月齢,卒園年齢,,,,,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
所在区,,,,,,,,,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,幼保連携型認定こども園　若竹保育園,,（福）,,120*,,,,南落合３－９－１,,,793-1112,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
磨 区 （ 北 須 磨 ）,磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,幼保連携型認定こども園　名谷みどりこども園,,（福）,,120*,,,,中落合２－３－２,,,797-7077,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,20:00,○,○
,,,,,保育所,菅の台保育所,,（公立）,,133,,,,菅の台４－６,,,791-0678,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区 （ 北 須,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,竜が台保育所,,（公立）,,139,,,,竜が台１－１１,,,792-8830,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,,北須磨保育園,,（福）,,110,,,,友が丘３－１０７,,,792-0674,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,あじさい保育園,,（福）,,60,,,,白川台４－２０－２０,,,792-2345,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,やまびこ保育園,,（福）,,150,,,,北落合２－１１－１５,,,791-3369,生後６か月,５歳児クラス,,,,,7:00,18:00,8:00,16:00,7:00,20:00,○,○
,,,,,,くすの木保育園,,（福）,,180,,,,横尾１－１０,,,743-1888,生後６か月,５歳児クラス,,,,,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,北須磨第２保育園,,（福）,,80,,,,妙法寺字荒打３００－１,,,743-4780,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,）,,,,家庭的保育事業,堀切　赤ちゃんホーム,,（個人）,,5,,,,東白川台５,,,※,生後７週目,０歳児クラス,,,,,-,-,8:00,16:00,7:30,17:30,,
＊は、別途、１号認定子どもの利用定員を設けています。 ※１　東須磨愛児園は、０～２歳児を全員分園で、３歳児以降を全員本園で、保育を行います。 ※２　村雨保育園愛分園の対象児童は、０，１歳児です。（２歳児以降は、本園で保育を行います。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
