保,,,,,,,保育所・認定こども,,,,,,,,,,,,,,保育事,,事業 施,施設一覧（２号・３号認定子ども,,,,,,,,,,,,,,,
,,,,,,,,,,,,も園,,,園・地,地,,地域,域,域型保,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用,用,用） 平成29年4月1日時点,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,平成29年4月1日時点,,,,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,,,分類,施設名,,,,,組織,,,利用定員,,,,,所在地,,,,,,電話番号,受入開始月齢,卒園年齢,,保育標準時間（11時間）,,,,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,（2・3号）,,,,,,,,,,,,,,,開始 時間,,,,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,幼保連携型認定こども園,幼保連携型認定こども園 神戸保育園,,,,,（福）,,,80*,,,,,水笠通３－４－１４,,,,,,621-2855,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,幼保連携型認定こども園 たから保育園,,,,,（福）,,,110*,,,,,東尻池町４－１３－１１,,,,,,651-5211,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,認定こども園 神楽こども園,,,,,（福）,,,80*,,,,,神楽町２－２－２９,,,,,,691-4600,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,神戸エンゼル認定こども園,,,,,（福）,,,60*,,,,,長楽町４－４－３,,,,,,732-7887,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,幼保連携型認定こども園 名倉幼稚園,,,,,（学）,,,40*,,,,,長田天神町１－１７－１３,,,,,,691-0473,1歳児クラス,５歳児クラス,,8:00,,,,19:00,8:00,16:00,7:00,19:00,,○
,,,,,,幼保連携型認定こども園 近田幼稚園,,,,,（学）,,,130*,,,,,駒栄町４－１－１１,,,,,,611-1344,生後１１か月,５歳児クラス,,8:00,,,,19:00,8:00,16:00,7:00,20:00,○,○
,,,,,,幼保連携型認定こども園 新生こども園,,,,,（福）,,,60*,,,,,平和台町２－１－２３,,,,,,621-3954,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,幼保連携型認定こども園 五位の池こども園,,,,,（福）,,,80,,,,,五位ノ池町２－１－９,,,,,,621-1801,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,幼保連携型認定こども園 ほそだ,,,,,（福）,,,140＊,,,,,細田町５－２－４,,,,,,642-0395,生後６か月,５歳児クラス,,7:00,,,,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,保育所,長田保育所,,,,,（公立）,,,54,,,,,大塚町１－１－３１,,,,,,691-7243,１歳児クラス,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
,,,,,,菅原保育所,,,,,（公立）,,,120,,,,,菅原通１－７２－１,,,,,,576-0234,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,○,○
長,,長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,本庄保育所,,,,,（公立）,,,90,,,,,本庄町６－６－３,,,,,,731-5803,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
田 区,,,,田 区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,駒栄保育所,,,,,（公立）,,,139,,,,,駒栄町３－１－１７,,,,,,641-7555,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
,田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,房王寺保育所,,,,,（公立）,,,142,,,,,房王寺町５－１－５－１００,,,,,,643-2301,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,19:00,,○
,区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,明泉寺保育所,,,,,（公立）,,,120,,,,,明泉寺町１－６－８,,,,,,641-4700,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
,,,,,,長田東保育所,,,,,（公立）,,,54,,,,,四番町３－４－４９,,,,,,577-7536,１歳児クラス,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
,,,,,,浪松保育所,,,,,（公立）,,,120,,,,,浪松町２－１－７,,,,,,731-5540,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,19:00,,○
,,,,,,しりいけ保育所,,,,,（公立）,,,120,,,,,東尻池町６－３－３７,,,,,,651-4192,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,18:30,,○
,,,,,,ふたば保育所,,,,,（公立）,,,139,,,,,二葉町７－１－３０,,,,,,621-8561,生後６か月,５歳児クラス,,7:30,,,,18:30,8:30,16:30,7:00,19:00,,○
