所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
北区（本区）,幼稚園型認定こども園,認定こども園 鈴蘭台幼稚園,(学),347,鈴蘭台南町１－２－１５,591-0617,○,,７：００,１９：００,○,週４日,-,○,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 五葉幼稚園,(学),320,北五葉３－７－２,591-0718,○,,７：００,１９：００,○,週６日,-,○,○
北区（北神）,幼稚園（私学助成制度）,ありの藤原幼稚園,(学),240,藤原台南町１－１１,981-1111,,○,８：００,１８：００,○,週３日,-,-,○
北区（本区）,幼稚園（私学助成制度）,聖ミカエル幼稚園,(学),240,南五葉３－１－２,591-6789,○,,７：００,２０：００,○,週３日,○,-,-
北区（北神）,幼稚園（新制度）,北六甲幼稚園,(学),350,有野台３－１２,981-0135,○,,８：００,１８：００,○,週４日,-,○,○
北区（本区）,幼稚園（私学助成制度）,広陵幼稚園,(学),400,広陵町２－３２,581-8037,,○,７：３０,１９：００,○,週４日,-,○,-
北区（本区）,幼稚園（私学助成制度）,泉台幼稚園,(学),320,泉台２－２－３,593-9200,○,,７：００,１９：００,○,週３日,-,満２歳,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 星和台幼稚園,(学),220,星和台２－１６－１３,593-9100,○,,７：００,１９：００,○,週６日,-,○,○
北区（本区）,幼稚園型認定こども園,認定こども園 ひよどり台幼稚園,(学),192,ひよどり台５－２,743-2061,,○,８：００,１９：００,○,週５日,-,○,○
北区（北神）,幼稚園（私学助成制度）,レナ幼稚園,(学),305,有野町唐櫃字西ノ垣２８３３,981-0607,,○,７：３０,１９：００,○,週４日,-,○,-
北区（本区）,幼稚園型認定こども園,認定こども園 正英幼稚園,(学),260,泉台５－１１,593-3176,○,,７：００,１９：００,○,週５日,-,○,○
北区（北神）,幼稚園型認定こども園,認定こども園 六甲藤原台幼稚園,(学),425,藤原台中町３－１７－２,981-3301,○,,７：３０,１８：３０,○,週６日,-,○,○
北区（北神）,幼保連携型認定こども園,（仮称）認定こども園 神戸鹿の子幼稚園,(学),420,鹿の子台北町６－３４－２,951-9901,○,,７：３０,１９：００,○,週５日,-,○,○
北区（北神）,幼保連携型認定こども園,幼保連携型認定こども園 キッズキャンパス,（学）,95,藤原台南町１－７－５,982-6300,○,,７：３０,１８：３０,○,週６日,-,-,○
北区（北神）,幼保連携型認定こども園,幼保連携型認定星の杜こども園,（福）,95,鹿の子台南町１－２－１５,952-0415,,○,７：００,１８：３０,-,週６日,-,○,○
北区(本区),幼保連携型認定こども園,認定こども園 このみ保育園,(福),85,山田町下谷上字箕谷２１－１,583-2203,○,,７：００,１９：００,-,週６日,-,-,○
北区(本区),幼保連携型認定こども園,幼保連携型認定こども園 みどりこども園,(福),125,日の峰１－２０－１,581-7077,,○,７：００,１９：００,-,週６日,-,-,○
北区(本区),幼保連携型認定こども園,幼保連携型認定こども園 鈴蘭台北町こども園,（福）,105,鈴蘭台北町６－１－１８,592-5911,○,,７：００,１９：００,-,週６日,-,-,○
北区(北神),幼保連携型認定こども園,幼保連携型 明照認定こども園,(福),165,有野台６－２２,982-7004,○,,７：００,１９：００,-,週６日,-,-,○
北区(北神),幼保連携型認定こども園,幼保連携型つきかげ認定こども園,(福),75,藤原台中町２－５－１,987-4154,○,,７：００,１９：００,-,週６日,-,-,○
北区(北神),幼保連携型認定こども園,幼保連携型認定星の子こども園,(福),165,鹿の子台北町３－２－２４,951-1152,,○,７：００,１９：００,-,週６日,-,-,○
