分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始,終了,保育短時間（８時間） 開始,終了,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
保育所,なかよし保育園,（福）,100,和井取５－１７,975-6840,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,なかよし保育園　ふれんど分園,（福）,20,玉津町高津橋２１４－３,911-7060,生後６か月,５歳児クラス,―,―,8:30,16:30,7:30,18:00,○,
保育所,あおぞら保育園,（福）,130,水谷２－２５－２４,918-6860,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
保育所,枦谷つぐみ保育園,（福）,90,櫨谷町池谷３５７－１,990-0293,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,枝吉保育所,（福）,120,枝吉４－２６,927-5953,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,井吹北つぐみ保育園,（福）,60,井吹台北町１－１８,996-0293,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,井吹北つぐみ保育園　分園,（福）,20,井吹台北町２－１７－１５,991-0293,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
家庭的保育事業,山本　赤ちゃんホーム,（個人）,5,今寺,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,津吉　赤ちゃんホーム,（個人）,5,井吹台東町３,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,こばとキンダールーム,（有）,19,丸塚１－２６－１７,924-5686,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,西神中央エンゼルホーム,（有）,19,糀台５－５－１　イル・グラッツォ共用棟２F,997-6693,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,○,
小規模保育事業,ＹＭＣＡちとせ保育ルーム,(学),12,学園西町４－１　留学生会館１Ｆ,786-3821,１歳児クラス,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,学園都市駅前小規模保育園,（福）,12,学園西町１－１－１　ユニバープラザ１F,795-9003,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
小規模保育事業,小規模保育園ふわり池上,（特非）,12,池上３－３－２　JAアクト池上ビル２F,915-7183,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
小規模保育事業,小規模保育つぐみ　House,（福）,19,井吹台東町１－１－１　西神南センタービル２F,997-7293,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,キッズパートナー狩場台,（株）,19,狩場台３－９ー１５　かりばプラザ内,990-1511,生後６か月,２歳児クラス,7:00,18:00,8:30,16:30,7:00,19:30,○,
事業所内保育事業,ひかりのくれよん,（生協連）,19 （内地域枠5）,見津が丘３－８－５,998-0850,生後６か月,２歳児クラス,8:00,19:00,8:00,16:00,8:00,19:00,,
事業所内保育事業,事業所内保育事業　みどり保育園,（医）,20 （内地域枠5）,枝吉４－１７２－３,920-0201,生後６か月,２歳児クラス,8:00,19:00,8:00,16:00,7:00,20:00,○,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　聖ニコラス天使園,（福）,90,北青木４－１－３７,412-6080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
幼保連携型認定こども園,幼保連携型認定こども園　夢,（福）,100,住吉宮町１－２－２７,858-9614,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　夢遊喜分園,（福）,60,住吉宮町１－８－８,858-9610,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
幼保連携型認定こども園,幼保連携型認定こども園　石屋川くるみ保育園,（福）,70,御影塚町２－２２－１９,842-4152,生後５７日,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　本山北町あすのこども園,（福）,150＊,本山北町３－２－２８,441-1905,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,,○
幼保連携型認定こども園,認定こども園　魚崎COCORO,（福）,120,魚崎西町２－４－１,858-5561,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　きらり保育園,（福）,100,本庄町１－３－１,412-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　きたおおぎこども園,（福）,130,北青木１－１－２,411-5421,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,認定こども園　松蔭おかもと保育園,（福）,60,岡本７－３－１４,262-1150,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　第２きらり保育園,（福）,72,深江本町１－１３－２５,411-2003,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　同朋住吉台こども園,（福）,50＊,住吉台２５－７,846-6011,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　甲南すこやかこども園,（福）,90,魚崎北町２－１０－１０,453-4152,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　モーツァルトこども園,（福）,90＊,本山南町８－３－３,431-3111,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,認定こども園　あおい宙,（福）,90＊,本山南町７－５－２１,441-2444,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　甲南こども園,（福）,60,森南町３－１－４,441-8345,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　夢の星幼稚園,(学),20＊,向洋町中３－１－３,857-3166,３歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
保育所,魚崎保育所,（公立）,116,魚崎南町２－１１－１１,411-4354,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,東灘本庄保育所,（公立）,117,青木４－１－３２,431-3539,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,御影保育所,（公立）,120,御影中町４－１－８,811-3780,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,本山保育所,（公立）,142,岡本１－７－６,451-0567,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,渦森台保育所,（公立）,63,渦森台１－１３－１,841-6390,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,中野保育所,（公立）,120,本山南町１－３－３,453-2664,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,瀬戸保育所,（公立）,138,魚崎南町６－５－２６,453-2663,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,田中保育所,（公立）,100,田中町４－１１－２２,452-3181,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,浜御影保育所,（公立）,90,御影本町６－５－７,821-9571,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,住吉公園保育所,（公立）,120,住吉宮町３－４－２３,851-3738,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,光の子保育園,（福）,180,向洋町中２－３,857-1577,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,○,○
保育所,光の子保育園マナ分園,（福）,20,向洋町中５－１３,811-1132,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,
保育所,ベネッセ本山保育園,（株）,60,甲南町１－１－３５,412-7170,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,20:00,○,○
保育所,親和保育園,（福）,90,住吉本町３－８－１７,846-4701,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,虹保育園,（福）,90,深江本町４－１－１２,413-4124,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,岡本ハーベスト保育園,（福）,90,岡本１－１１－５,413-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,高羽西岡本保育園,(学),30,西岡本２－２５－４－１０２,436-7885,１歳児クラス,３歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
保育所,甲南山手保育園,（福）,80,本庄町１－１０－２,441-0003,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,おかもと虹保育園,（福）,70,岡本３－２－６,412-2262,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,御影のどか保育園,（福）,90,御影３－２８－１,851-6261,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,住吉むつみ保育園,（福）,90,住吉宮町７－２－３５,843-6230,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,住吉むつみ保育園　分園,（福）,9,住吉本町２－３－９,843-6232,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,,
保育所,ABCみかげ保育園,（福）,60,御影本町６－１－１５,856-5158,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
