,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,事業 施設一覧（２号・３号認定子ども,,,,も用,用,用,用） 平成28年4月1日時点,,,,,,,,
平成28年4月1日時点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,,分類,施設名,,組織,,,利用定員 （2・3号）,,所在地,,,電話番号,受入開始月齢,卒園年齢,,,,,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,琵琶COCORO保育園,,（福）,,,60,,琵琶町２－４－４,,,881-7113,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,家庭的保育事業,赤ちゃんホーム なだのみ,,(株),,,5,,岩屋北町１－４－１６ ケイテムビル１Ｆ,,,※,生後７週目,０歳児クラス,,,,,-,-,8:00,16:00,8:00,18:00,,
,,,,,赤ちゃんホーム つぼみ,,(個人),,,3,,篠原中町３－４－６ ダイヤデート１Ｆ,,,※,生後７週目,０歳児クラス,,,,,-,-,8:00,16:00,8:00,18:00,,
,,,,小規模保育事業,たんぽぽ,,（福）,,,12,,六甲町１－２－５ 六甲ハーモニーガーデン１F,,,843-5919,満１歳,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,18:30,,
,,,,,はらだ乳児園,,（福）,,,12,,原田通２－２－５ 臼井ハイツ王子１Ｆ,,,855-5901,満１歳,２歳児クラス,,,,,7:30,18:30,9:00,17:00,7:30,18:30,,
,,,,,コアラ愛児園,,（福）,,,19,,泉通６－３－１０ モンテ王子１Ｆ,,,855-4844,満１歳,２歳児クラス,,,,,7:30,18:30,8:00,16:00,7:30,18:30,,
,,,,,めばえすくすくルーム,,（福）,,,12,,灘南通３－１－５ ミロードメゾン１Ｆ,,,803-2222,満１歳,２歳児クラス,,,,,7:30,18:30,9:00,17:00,7:30,18:30,,
,,,,,小規模保育園 六甲道,,（福）,,,19,,永手町４－１－１ ＪＲ六甲道駅構内,,,857-9110,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,19:00,,
,,,,,保育ルーム ちいさなCOCORO,,（福）,,,14,,備後町５－３－１ ウェルブ六甲道１番街１F,,,851-1201,生後６か月,２歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,,,京進のほいくえんHOPPA灘園,,（株）,,,19,,都通２－１－２６ 摩耶コート壱番館１F,,,262-1033,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,19:30,○,
,,,,,キッズパートナー王子公園,,（株）,,,19,,岸地通１－５－６ コラボK-Ⅰ１F,,,806-2212,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,,
,,,,,ポピンズ小規模保育園HAT神戸,,（株）,,,19,,摩耶海岸通２－３－１３ HAT神戸灘の浜１３番館１F,,,862-9393,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,19:00,,
,,,,,神戸六甲キッズバルーン,,(株),,,14,,六甲町１－１－６ アベニュー六甲１F,,,862-8616,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,,
,,,,,くじら保育園神戸六甲園,,(株),,,19,,神ノ木通３－６－２８ グランサイト六甲２F,,,855-7230,生後６か月,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,19:00,,
＊は、別途、１号認定子どもの利用定員を設けています。 ※１ 光愛児園SUN分園の対象児童は、０～２歳児です。（３歳児以降は、本園で保育を行います。） ※２ 幼保連携型 めばえの園認定こども園すみれ分園の対象児童は、０・１歳児の予定です。（２歳児以降は、本園で保育を行います。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
