保,,,,,,,,保育所・認定こども園・地域型保,,,,,,保育事,事業 施設一覧（２号・３号認定子ども用） 平成29年2月1日時点,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,,,,分類,施設名,,組織,,利用定員 （2・3号）,,所在地,,,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
北,,,,,,幼保連携型認定こども園,幼保連携型 明照認定こども園,,（福）,,120*,,有野台６－２２,,,982-7004,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,,,,,幼保連携型 つきかげ認定こども園,,（福）,,60*,,藤原台中町２－５－１,,,987-4154,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,,,幼保連携型認定星の杜こども園,,（福）,,80*,,鹿の子台南町１－２－１５,,,952-0415,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,○
,,,,,,,幼保連携型認定こども園 キッズキャンパス,,(学),,80*,,藤原台南町１－７－５,,,982-6300,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,○,○
,,,,,,,幼保連携型認定こども園 八多保育園,,（福）,,140,,八多町下小名田３２０－１,,,951-0302,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,,,幼保連携型認定星の子こども園,,（福）,,150*,,鹿の子台北町３－２－２４,,,951-1152,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,○
,,,,,,,（仮称）幼保連携型認定こども園 ひとみ保育園,,（福）,,120,,藤原台北町６－１８－３６,,,984-2468,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,,,（仮称）認定こども園 神戸鹿の子幼稚園,,（学）,,100*,,鹿の子台北町６－３４－２,,,951-9901,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,○
,,,,,,幼稚園型認定こども園,認定こども園 六甲藤原台幼稚園,,（学）,,70*,,藤原台中町３－１７－２,,,981-3301,２歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
区 （ 北 神 ）,,,,,,保育所,からと保育所,,（公立）,,100,,唐櫃台２－３８－５,,,981-5448,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,18:30,,○
,区 （ 北,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,道場保育園,,（宗）,,90,,道場町道場１０６,,,951-3861,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,,,,有馬保育園,,（福）,,90,,有馬町１６４４,,,904-4190,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,,,,,大池保育園,,（宗）,,70,,西大池１－２１－１１,,,583-0101,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,神 ）,,,,,,オリンピア神戸北保育園,,（福）,,130,,上津台６－１－１,,,986-0820,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,,家庭的保育事業,岡田 赤ちゃんホーム,,（個人）,,5,,西山１,,,※,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,18:00,,
,,,,,,小規模保育事業,いつくしみ愛児園,,（宗）,,19,,道場町日下部１６１６,,,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
,,,,,,,しんてつ・おかば園,,（株）,,12,,有野町有野２２６１－２,,,981-8201,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
,,,,,,,パンダこうとく保育園,,（福）,,12,,淡河町野瀬４５７－１,,,958-0575,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,,,,,小規模保育 かがやき保育園,,(宗),,12,,道場町日下部１６１５－２,,,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
,,,,,,,こぐまプリスクール北神戸園,,(特非),,16,,八多町中１１５０ グリーンガーデンモール北神戸内,,,951-1718,１歳児クラス,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
,,,,,,,（仮称）小規模保育園 ほしぞら,,（福）,,12,,道場町日下部1019-1 グランデュール北神戸１F,,,開設予定,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,,,,事業所内保育事業,いちご保育園（恒生病院）,,（医）,,19 （内地域枠5）,,道場町日下部１６６４,,,950-2622,生後６か月,２歳児クラス,8:00,19:00,9:00,17:00,8:00,19:00,,
＊は、別途、１号認定子どもの利用定員を設けています。 ※ 谷上保育園きらら分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）,,,,,,,,,,,,,,,,,,,,,,,,,,
