保,,,,,保育所・認定こども園・地域型保,,,,,,保育事,事業　施設一覧（２号・３号認定子ども用） 平成28年9月20日時点,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,分類,施設名,,組織,利用定員 （2・3号）,,,所在地,,,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,学が丘保育園,,（福）,150,,,学が丘４－９－１０,,,781-0303,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,学が丘保育園分園　※２,,（福）,50,,,学が丘４－６－１,,,783-6811,,,7:00,18:00,9:00,17:00,7:00,19:00,,
,,,,たるみ保育園,,（福）,140,,,平磯４－５－１４,,,707-5888,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,ドレミキッズ保育園,,（株）,60,,,舞子台２－９－５,,,784-8881,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,,千鳥が丘親和保育園,,（福）,120,,,千鳥が丘３－２３－２５,,,705-2440,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,ことぶき保育園,,（福）,90,,,福田４－６－１８,,,708-4882,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,ひとまる保育園,,（福）,90,,,本多聞１－２０－４０,,,784-5984,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,かすが保育園,,（福）,90,,,北舞子２－５－１４,,,781-5888,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,家庭的保育事業,岩崎　赤ちゃんホーム,,（個人）,5,,,多聞台２,,,※,生後７週目,※２歳児クラス,-,-,8:00,16:00,8:00,18:30,,
区,,,,,,,,,,,,,,,,,,,,,,,
,,,,藤田赤ちゃんホームひまわり,,（個人）,5,,,仲田３－３－１３,,,※,生後７週目,２歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,,
,,,,きたぐち　赤ちゃんホーム,,（個人）,4,,,西舞子４,,,※,生後７週目,０歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,
,,,,井口　赤ちゃんホームinジェームス山,,（個人）,4,,,青山台１－５－６,,,※,生後７週目,※２歳児クラス,-,-,8:00,16:00,8:00,18:00,,
,,,,はやし赤ちゃんホームin五色山,,（個人）,5,,,五色山７－４－１７,,,※,生後７週目,２歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,,
,,,,大塚　赤ちゃんホーム,,（個人）,5,,,千鳥が丘３－１５－２１,,,※,生後７週目,０歳児クラス,-,-,8:00,16:00,7:30,18:00,,
,,,小規模保育事業,ちっちゃなこども園ふたば,,（特非）,12,,,舞多聞東２−６−９,,,784-5333,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
,,,,本多聞小規模保育園,,（福）,12,,,本多聞３－５－２３－１０２,,,785-8020,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
,,,,青山台小規模保育園,,（福）,12,,,青山台４－８－１８　青山台モリビル２F,,,742-8636,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
,,,,虹っこひろば,,（特非）,12,,,王居殿３－１９－５,,,752-3282,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,○,
,,,,小規模保育園　たるみ駅ナカ,,（福）,19,,,神田町１－２０　ＪＲ垂水駅（西口）構内,,,708-3600,満１歳,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,
,,,,垂水駅前小規模保育園,,（福）,19,,,神田町２－３１　タケミカビル２Ｆ,,,754-6660,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
,,,,つくし,,(学),19,,,星が丘２－１－６５,,,709-5656,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,○,
,,,,小規模保育園CHES（チェス）,,（株）,12,,,清水通３－１０　シャルマンフジ神戸壱番館１F,,,754-7500,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,,ハープキッズ,,（株）,12,,,舞子台２－９－５,,,783-7733,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,,小規模保育園さくら,,（福）,19,,,舞子台６－２０－２０,,,747-0761,生後６か月,２歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
,,,,小規模保育園KOBILS,,(株),19,,,桃山台４－４－１３,,,766-6670,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,
,,,,小規模保育事業　花の森,,（福）,12,,,名谷町字大谷１９０５－７　アーバンヴィレッジ学園南２F,,,742-6090,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,,キッズブライト・ナーサリー垂水,,(一社),19,,,天ノ下町１０－５　シルバーウィリアムス１F,,,707-2620,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,,ちっちゃなこども園よつば,,（特非）,19,,,舞多聞西５－１１－１,,,784-5333,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,,小規模保育園ちゃいるどるーむ,,(特非),19,,,神陵台７-１３-１７,,,781-6016,生後６か月,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,
,,,,（仮称）小規模保育事業　舞多聞こあら保育園,,（株）,17,,,舞多聞西5-1-6,,,開設予定,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,,
,,,,（仮称）こぐまプリスクール舞子園,,（特非）,19,,,西舞子３-８－１６　アビタシオン中津２Ｆ,,,785-4855,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,事業所内保育事業,いるか保育園,,（一社）,12 （内地域枠4）,,,学が丘１－１９－８,,,781-2611,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,,
,,,,オービーホームキッズ,,(福),12 (内地域枠5),,,名谷町字猿倉273-7　特別養護老人ホームオービーホーム新館１F,,,706-0017,生後９週目,２歳児クラス,7:00,18:00,8:30,16:30,7:00,19:30,,
,,,,ハートランド・きっず,,(有),25 (内地域枠10),,,舞子台７－３－８　有料老人ホーム／ハートランド舞子台４F,,,781-9191,生後７週目,２歳児クラス,8:00,19:00,8:30,16:30,8:00,19:00,,
＊は、別途、１号認定子どもの利用定員を設けています。 　　 ※１　（仮称）幼保連携型認定こども園　たけのこども園そら分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。） ※２　学が丘保育園分園の対象児童は、５歳児です。（本園の対象児童は、０～４歳児です。）,,,,,,,,,,,,,,,,,,,,,,,
