所在区,分類,施設名,組織,認可定員(全体),所在地,電話番号,受入開始年齢 満3歳～,受入開始年齢 3歳～,預かり保育 開始時間（朝）,預かり保育 終了時間（夕）,園バス,給食,未就園児教室 受入開始年齢 １歳～,未就園児教室 受入開始年齢 ２歳～,園庭開放
垂水区,幼保連携型認定こども園,幼保連携型　認定こども園　桃の木幼稚園,(学),315,桃山台３－２３－２,753-0123,○,,７：００,１９：００,○,週６日,-,○,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　多夢の森,(福),105,南多聞台４－４－５０,787-0939,○,,７：３０,１８：３０,-,週５日,満１歳,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　夢の森,(福),75,高丸６－３－１,704-3008,○,,７：３０,１８：３０,-,週５日,満１歳,-,○
垂水区,幼保連携型認定こども園,幼保連携型　おとぎ認定こども園,(福),135,美山台２－１－３,753-1126,,○,８：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　花の森,(福),95,名谷町乙１９４１－１,791-0601,○,,７：３０,１８：３０,-,週５日,満１歳,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　心の森,(福),75,清水が丘３－１－１６,787-3500,○,,７：３０,１８：３０,-,週５日,満１歳,-,○
垂水区,幼保連携型認定こども園,幼保連携型小束山認定こども園,(福),135,小束山本町２－１３－１,783-0003,,○,９：００,１５：００,-,週６日,-,○,○
垂水区 垂水区,幼保連携型認定こども園,幼保連携型認定こども園　上高丸,(福),85,高丸８－１５－１２,709-4018,○,,７：３０,１８：３０,-,週５日,満１歳,-,○
,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　しおやこども園,（福）,75,塩屋町３－２３－１,753-4334,○,,７：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　かすみがおか虹こども園,（福）,105,霞ヶ丘１－６－１９,707-5554,○,,７：００,１９：００,-,週６日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　たけのこども園,（福）,69,山手２－３－１８,753-7777,○,,７：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 多聞台こども園,（福）,109,多聞台３－９－１３,781-2286,○,,７：００,１９：００,-,週６日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　たかつか保育園,（福）,69,小束山手１－２４－１,795-2424,○,,７：００,１９：００,-,週６日,-,-,○
西区,幼稚園（私学助成制度）,春日台幼稚園,(学),320,春日台４－２,961-3000,,○,８：００,１８：００,○,週３日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　有瀬幼稚園,(学),464,伊川谷町有瀬８５４－１,974-4600,,○,７：００,１９：００,○,週４日,-,-,○
西区,幼稚園型認定こども園,認定こども園　さくらんぼ幼稚園,(学),255,桜が丘中町２－８－２,994-5225,○,,８：００,１７：００,○,週６日,-,-,○
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　学園幼稚園,(学),395,学園西町５－３－２,792-1122,,○,７：００,１９：００,○,週４日,-,-,○
西区,幼稚園型認定こども園,認定こども園　桑ノ木幼稚園,(学),323,竹の台２－１０－１,991-4788,○,,７：００,１９：００,○,週５日,-,○,-
西区,幼稚園（私学助成制度）,いりえ幼稚園,(学),225,狩場台３－６－４,992-0700,,○,-,１７：３０,○,週３日,-,-,○
