地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 甲南すこやかこども園,私立,90＊,×,×,×,×,×,×,1,1,0,1,0,0,,3
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 モーツァルトこども園,私立,90＊,×,×,×,○,○,×,2,2,1,1,0,0,,6
東灘区,幼保連携型認定こども園,認定こども園 あおい宙,私立,90＊,○,○,×,×,×,○,2,4,3,0,1,0,,10
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 甲南こども園,私立,60,×,×,×,×,×,×,2,0,0,0,0,0,,2
東灘区,幼保連携型認定こども園,光の子認定こども園 ※分園を含む ※２,私立,230＊,×,×,×,×,×,×,9,8,8,2,1,1,,29
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 ふかえ虹こども園,私立,90＊,×,×,○,×,○,×,3,1,0,0,0,0,,4
東灘区,幼保連携型認定こども園,幼保連携型認定こども園 おかもと虹こども園,私立,70＊,×,×,×,×,○,○,0,4,1,1,1,0,,7
東灘区,幼稚園型認定こども園,認定こども園 夢の星幼稚園,私立,20＊,,,,×,×,×,,,,1,3,1,,5
東灘区,保育園,魚崎保育所,公立,116,×,×,○,○,○,○,0,0,0,0,0,0,,0
東灘区,保育園,東灘本庄保育所,公立,117,×,×,×,×,○,○,1,0,0,0,0,0,,1
東灘区,保育園,御影保育所,公立,120,×,×,×,○,○,○,4,5,2,1,0,0,,12
東灘区,保育園,本山保育所,公立,142,×,×,×,×,○,○,2,1,2,1,1,0,,7
東灘区,保育園,渦森台保育所,公立,63,○,×,×,○,○,○,0,2,2,0,1,0,,5
東灘区,保育園,中野保育所,公立,120,×,×,×,×,○,○,1,1,2,0,0,0,,4
東灘区,保育園,瀬戸保育所,公立,138,×,○,○,○,×,×,4,0,1,0,0,0,,5
東灘区,保育園,田中保育所,公立,100,×,○,×,×,○,○,1,0,5,0,0,0,,6
東灘区,保育園,浜御影保育所,公立,90,×,×,×,×,○,○,2,2,1,1,0,0,,6
東灘区,保育園,住吉公園保育所,公立,120,×,×,○,○,×,○,2,4,2,0,1,0,,9
東灘区,保育園,ベネッセ本山保育園,私立,60,×,×,×,×,×,○,3,0,0,0,0,0,,3
東灘区,保育園,親和保育園,私立,90,×,×,×,×,×,×,6,3,5,0,0,1,,15
東灘区,保育園,岡本ハーベスト保育園,私立,90,×,×,×,×,×,×,9,6,2,1,0,0,,18
東灘区,保育園,高羽西岡本保育園,私立,30,,×,×,×,,,,0,0,0,,,,0
東灘区,保育園,甲南山手保育園,私立,80,×,×,×,×,×,○,1,0,3,0,1,0,,5
東灘区,保育園,御影のどか保育園,私立,90,×,×,×,○,×,×,0,0,0,0,0,0,,0
東灘区,保育園,住吉むつみ保育園 ※分園含む ※３,私立,99,×,×,×,×,×,○,3,5,0,0,0,0,,8
東灘区,保育園,ABCみかげ保育園,私立,60,×,×,×,×,×,×,2,1,1,0,0,0,,4
東灘区,保育園,ブルーノの森保育園,私立,60,×,×,×,×,×,×,0,2,0,0,0,0,,2
東灘区,保育園,神戸住吉保育園,私立,80,×,×,×,×,○,○,2,1,0,0,0,0,,3
東灘区,家庭的保育事業,澤田 赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
東灘区,家庭的保育事業,中村 赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
東灘区,小規模保育事業,あおい宙 もとやま,私立,9,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,あすの乳児ルーム,私立,19,×,○,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,小規模保育園ハピネスファミリー,私立,12,×,×,×,,,,0,4,1,,,,,5
東灘区,小規模保育事業,茶屋本庄園,私立,12,○,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,キッズクラブ本山南,私立,19,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,チャイルドハート保育サロン甲南園,私立,14,×,×,×,,,,0,1,0,,,,,1
東灘区,小規模保育事業,あおい宙 こうなん,私立,12,×,×,×,,,,0,0,1,,,,,1
東灘区,小規模保育事業,RICホープ御影,私立,19,×,×,×,,,,1,1,1,,,,,3
東灘区,小規模保育事業,御影小規模保育ルーム,私立,19,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,はぴふぁみえるあ 小規模保育園 Lino,私立,12,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,コスモチャイルド保育園神戸東灘園,私立,19,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,甲南やまゆり保育園,私立,19,×,○,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,京進のほいくえんHOPPA東灘園,私立,12,○,×,×,,,,0,0,1,,,,,1
東灘区,小規模保育事業,深江けやきの木小規模保育園,私立,15,×,○,×,,,,1,0,0,,,,,1
東灘区,小規模保育事業,京進のほいくえんHOPPA甲南山手園,私立,12,○,○,○,,,,0,0,0,,,,,0
東灘区,事業所内保育事業,コープこうべの保育園 どんぐりっこもとやま,私立 1,19(内地域枠12),○,×,○,,,,0,0,0,,,,,0
東灘区,事業所内保育事業,キッズルームころねん,私立,20(内地域枠５),×,○,×,,,,0,0,0,,,,,0
北神地区,幼保連携型認定こども園,幼保連携型 明照認定こども園,私立,120*,×,×,×,×,×,×,2,1,1,1,0,0,,5
北神地区,幼保連携型認定こども園,幼保連携型 つきかげ認定こども園,私立,60*,×,×,×,×,×,×,5,3,10,2,5,0,,25
北神地区,幼保連携型認定こども園,幼保連携型認定こども園 星の杜こども園,私立,80*,×,×,×,×,○,×,0,0,0,0,0,0,,0
北神地区,幼保連携型認定こども園,幼保連携型認定こども園 キッズキャンパス,私立,80*,×,×,×,×,×,○,1,3,4,0,4,0,,12
北神地区,幼保連携型認定こども園,幼保連携型認定こども園 八多保育園,私立,140,○,×,×,×,×,×,3,2,2,2,0,0,,9
北神地区,幼保連携型認定こども園,幼保連携型認定星の子こども園,私立,150*,○,○,×,○,×,○,3,0,0,0,0,0,,3
北神地区,幼保連携型認定こども園,幼保連携型認定こども園 ひとみ保育園,私立,120,×,×,×,×,×,×,0,1,1,1,0,0,,3
北神地区,幼保連携型認定こども園,幼保連携型認定こども園 神戸鹿の子幼稚園,私立,100*,×,×,×,×,×,×,1,0,1,2,2,1,,7
北神地区,幼稚園型認定こども園,認定こども園 六甲藤原台幼稚園,私立,70*,,,×,○,○,○,,,1,1,0,0,,2
北神地区,保育所,からと保育所,公立,100,×,○,○,○,○,○,1,1,0,0,0,0,,2
北神地区,保育所,道場保育園,私立,90,○,×,×,×,×,×,0,1,0,1,0,1,,3
北神地区,保育所,有馬保育園,私立,90,×,×,×,×,×,×,0,0,0,0,0,0,,0
北神地区,保育所,大池保育園,私立,70,×,×,×,×,×,×,0,3,1,3,0,0,,7
北神地区,保育所,オリンピア神戸北保育園,私立,130,×,×,×,×,×,×,1,0,0,1,2,0,,4
北神地区,家庭的保育事業,岡田 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
北神地区,小規模保育事業,いつくしみ愛児園,私立,19,×,×,×,,,,0,0,0,,,,,0
北神地区,小規模保育事業,しんてつ・おかば園,私立,12,×,×,×,,,,2,1,0,,,,,3
北神地区,小規模保育事業,パンダこうとく保育園,私立,12,○,○,○,,,,0,0,0,,,,,0
北神地区,小規模保育事業,小規模保育 かがやき保育園,私立,12,○,○,○,,,,0,0,0,,,,,0
北神地区,小規模保育事業,こぐまプリスクール北神戸園,私立,16,,○,○,,,,,0,0,,,,,0
北神地区,小規模保育事業,小規模保育園 ほしぞら,私立,12,○,○,○,,,,0,0,0,,,,,0
北神地区,事業所内保育事業,いちご保育園（恒生病院）,私立,19（内地域枠5）,○,○,○,,,,0,0,0,,,,,0
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 宝地院保育園,私立,130＊,×,×,×,×,×,×,2,3,0,2,0,0,,7
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 大同保育園,私立,150＊,×,×,×,○,○,○,2,1,1,0,0,0,,4
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 モーツァルト兵庫こども園,私立,90＊,×,×,×,×,×,×,6,1,2,1,0,0,,10
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 神港みどり幼稚園,私立,30＊,,,,○,×,×,,,,0,1,0,,1
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 ゆりかごこども園,私立,90＊,×,○,×,○,○,○,0,0,0,0,0,0,,0
兵庫区,幼保連携型認定こども園,大慈ひょうご幼保連携型認定こども園,私立,90＊,×,×,×,×,○,×,1,0,1,0,0,0,,2
兵庫区,幼稚園型認定こども園,認定こども園 みなと幼稚園,私立,30＊,,,,×,×,×,,,,0,0,3,,3
兵庫区,保育所,運南保育所,公立,54,,○,○,○,○,○,,0,0,0,1,0,,1
兵庫区,保育所,松原保育所,公立,120,×,×,×,×,○,○,0,3,1,0,0,0,,4
兵庫区,保育所,羽坂保育所,公立,106,×,×,×,×,×,×,0,2,1,1,0,0,,4
兵庫区,保育所,平野保育所,公立,124,×,×,×,○,×,×,0,2,1,0,0,0,,3
兵庫区,保育所,小河保育所,公立,73,×,×,×,○,×,○,1,0,2,0,0,0,,3
兵庫区,保育所,本願寺派湊川保育園,私立,60,×,○,×,○,○,○,1,1,0,0,0,0,,2
兵庫区,保育所,神徳館保育所,私立,70,×,×,×,○,×,×,1,0,0,0,0,0,,1
兵庫区,保育所,ルンビニー愛児園,私立,90,×,×,○,○,×,×,0,3,0,0,0,0,,3
兵庫区,保育所,ちびくろ保育園,私立,60,○,×,×,×,×,×,0,1,0,0,0,0,,1
兵庫区,保育所,御崎保育所,私立,100,×,×,×,×,○,○,1,0,0,1,0,0,,2
兵庫区,保育所,モーツァルトりた保育園,私立,60,×,×,×,×,○,○,2,5,2,0,0,0,,9
兵庫区,家庭的保育事業,平岡 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
兵庫区,家庭的保育事業,藪本 赤ちゃんホーム,私立,5,×,,,,,,0,,,,,,,0
兵庫区,家庭的保育事業,久留島家庭託児所,私立,3,○,○,○,,,,0,0,0,,,,,0
兵庫区,小規模保育事業,モーツァルト兵庫駅ナカ小規模保育園,私立,19,×,×,×,,,,1,1,0,,,,,2
兵庫区,小規模保育事業,小規模保育園 めいせい,私立,12,○,×,×,,,,0,0,0,,,,,0
兵庫区,小規模保育事業,小規模保育 おはな保育園,私立,19,×,×,○,,,,0,0,0,,,,,0
兵庫区,小規模保育事業,宝地院保育園ふたば,私立,19,×,×,×,,,,1,0,0,,,,,1
兵庫区,小規模保育事業,エンジェルキッズ神戸園,私立,19,×,×,○,,,,1,0,0,,,,,1
兵庫区,小規模保育事業,小規模保育園 クーナ,私立,12,×,×,×,,,,0,0,1,,,,,1
兵庫区,小規模保育事業,小規模保育事業 わろは保育園,私立,19,×,×,○,,,,1,1,0,,,,,2
北区,幼保連携型認定こども園,認定こども園 このみ保育園,私立,70*,×,×,×,○,×,×,0,3,1,0,0,0,,4
北区,幼保連携型認定こども園,幼保連携型認定こども園 星和台幼稚園,私立,90*,,○,○,○,○,○,,0,1,0,1,0,,2
北区,幼保連携型認定こども園,幼保連携型認定こども園 五葉幼稚園,私立,100*,,×,○,○,○,○,,0,0,0,0,0,,0
北区,幼保連携型認定こども園,幼保連携型認定こども園 みどりこども園,私立,110*,×,×,×,×,×,×,10,3,3,2,0,0,,18
北区,幼保連携型認定こども園,幼保連携型認定こども園 鈴蘭台北町こども園,私立,90*,×,×,×,○,×,×,0,2,3,0,1,0,,6
北区,幼保連携型認定こども園,幼保連携型認定こども園 頌栄保育園,私立,90*,×,×,×,×,×,×,2,3,2,2,0,1,,10
北区,幼保連携型認定こども園,幼保連携型認定こども園 山のまち,私立,100*,×,×,×,×,×,×,4,4,2,3,3,1,,17
北区,幼稚園型認定こども園,認定こども園 鈴蘭台幼稚園,私立,70*,,×,×,×,×,×,,2,3,2,4,0,,11
北区,幼稚園型認定こども園,認定こども園 ひよどり台幼稚園,私立,10*,,,,○,○,○,,,,0,0,0,,0
北区,幼稚園型認定こども園,認定こども園 正英幼稚園,私立,50*,,,×,×,×,×,,,5,5,2,12,,24
北区,保育所,桜の宮保育所,公立,136,×,×,×,○,×,○,1,6,4,0,1,0,,12
北区,保育所,君影保育所,公立,69,○,×,○,○,○,○,0,1,0,0,0,0,,1
北区,保育所,鈴蘭台西町保育所,公立,54,,×,○,○,○,○,,0,0,1,0,0,,1
北区,保育所,ひよどり台保育所,公立,110,○,×,×,○,○,○,0,0,1,1,0,0,,2
北区,保育所,鈴蘭台南町保育所,公立,120,×,×,×,○,○,○,1,0,1,0,0,0,,2
北区,保育所,鈴蘭台保育園,私立,50,,×,×,×,×,×,,0,0,0,0,0,,0
北区,保育所,太陽の子保育園,私立,120,×,×,×,×,×,○,0,7,2,1,1,0,,11
北区,保育所,谷上保育園 ※分園含む ※１,私立,110,×,×,○,×,×,×,2,10,1,1,1,0,,15
北区,保育所,すずらんキッズ保育園,私立,30,×,×,×,,,,4,2,2,,,,,8
北区,保育所,西鈴蘭台頌栄保育園,私立,120,×,×,×,○,○,○,0,1,0,0,0,0,,1
北区,家庭的保育事業,村上 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
