地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　きたおおぎこども園,私立,130,×,×,×,×,×,○,0,1,1,0,0,0,,2
東灘区,幼保連携型認定こども園,認定こども園　松蔭おかもと保育園,私立,60,×,×,×,×,○,×,5,4,0,0,0,0,,9
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　第２きらり保育園,私立,72,×,×,×,○,○,○,1,3,1,1,0,0,,6
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　同朋住吉台こども園,私立,50*,○,○,○,○,○,○,0,1,0,0,0,0,,1
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　甲南すこやかこども園,私立,90,○,×,×,×,×,×,1,0,1,0,0,0,,2
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　モーツァルトこども園,私立,90*,×,×,×,×,○,○,4,1,1,1,0,0,,7
東灘区,幼保連携型認定こども園,認定こども園　あおい宙,私立,90*,×,×,×,×,○,○,1,5,1,1,0,0,,8
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　甲南こども園,私立,60,×,×,×,×,×,×,3,3,0,1,0,0,,7
東灘区,幼稚園型認定こども園,認定こども園　夢の星幼稚園,私立,20*,,,,×,×,×,,,,3,3,1,,7
東灘区,保育所,魚崎保育所,公立,116,○,×,○,○,○,○,2,0,1,0,0,0,,3
東灘区,保育所,東灘本庄保育所,公立,117,×,×,×,×,○,○,0,0,0,0,0,0,,0
東灘区,保育所,御影保育所,公立,120,×,×,×,×,○,○,2,2,0,3,0,0,,7
東灘区,保育所,本山保育所,公立,142,×,×,×,×,○,×,4,4,0,1,0,1,,10
東灘区,保育所,渦森台保育所,公立,63,○,×,○,×,○,○,0,1,0,0,0,0,,1
東灘区,保育所,中野保育所,公立,120,×,×,×,×,○,○,1,0,1,0,0,0,,2
東灘区,保育所,瀬戸保育所,公立,138,×,×,×,×,○,○,1,1,1,1,0,0,,4
東灘区,保育所,田中保育所,公立,100,×,×,×,×,○,○,0,0,0,2,0,0,,2
東灘区,保育所,浜御影保育所,公立,90,○,×,×,×,○,○,2,0,0,1,0,0,,3
東灘区,保育所,住吉公園保育所,公立,120,×,×,×,×,○,×,0,3,3,2,0,0,,8
東灘区,保育所,光の子保育園　　※分園を含む　※２,私立,200,×,×,×,×,○,×,7,12,6,1,3,0,,29
東灘区,保育所,ベネッセ本山保育園,私立,60,×,×,○,×,○,×,0,1,0,0,0,0,,1
東灘区,保育所,親和保育園,私立,90,×,×,×,×,×,×,9,2,0,2,0,0,,13
東灘区,保育所,虹保育園,私立,90,×,×,×,×,×,×,3,1,0,0,0,0,,4
東灘区,保育所,岡本ハーベスト保育園,私立,90,×,×,×,×,×,×,5,3,1,0,0,0,,9
東灘区,保育所,高羽西岡本保育園,私立,30,,×,×,○,,,,0,0,0,,,,0
東灘区,保育所,甲南山手保育園,私立,80,×,×,×,×,×,×,1,3,1,0,1,0,,6
東灘区,保育所,おかもと虹保育園,私立,70,×,×,×,×,×,×,2,3,1,0,0,0,,6
東灘区,保育所,御影のどか保育園,私立,90,○,×,×,×,×,×,1,2,0,0,0,0,,3
東灘区,保育所,住吉むつみ保育園　　※分園含む　※３,私立,99,×,×,×,×,×,×,12,2,1,0,0,0,,15
東灘区,保育所,ＡＢＣみかげ保育園,私立,60,×,×,×,×,×,○,0,3,1,2,1,0,,7
東灘区,保育所,ブルーノの森保育園,私立,60,×,×,×,○,○,○,1,0,0,1,0,0,,2
東灘区,保育所,神戸住吉保育園,私立,80,×,×,×,×,○,○,1,2,2,1,0,0,,6
東灘区,家庭的保育事業,澤田　赤ちゃんホーム,私立,4,×,,,,,,0,,,,,,,0
東灘区,家庭的保育事業,中村　赤ちゃんホーム,私立,4,×,,,,,,1,,,,,,,1
東灘区,小規模保育事業,小規模保育園光の子リジョイス,私立,12,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,あおい宙　もとやま,私立,9,,×,×,,,,,0,0,,,,,0
東灘区,小規模保育事業,あすの乳児ルーム,私立,19,×,×,○,,,,0,0,0,,,,,0
東灘区,小規模保育事業,小規模保育園ハピネスファミリー,私立,12,,×,×,,,,,0,0,,,,,0
東灘区,小規模保育事業,茶屋本庄園,私立,12,×,×,×,,,,1,0,1,,,,,2
東灘区,小規模保育事業,キッズクラブ本山南,私立,19,○,×,×,,,,1,2,0,,,,,3
東灘区,小規模保育事業,チャイルドハート保育サロン甲南園,私立,14,×,×,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,あおい宙　こうなん,私立,12,○,○,×,,,,0,0,0,,,,,0
東灘区,小規模保育事業,RICホープ御影,私立,19,○,×,○,,,,1,0,0,,,,,1
東灘区,小規模保育事業,御影小規模保育ルーム,私立,19,×,×,×,,,,0,1,0,,,,,1
東灘区,小規模保育事業,はぴふぁみえるあ　小規模保育園　Lino,私立,12,×,○,×,,,,1,1,1,,,,,3
東灘区,小規模保育事業,コスモチャイルド保育園神戸東灘園,私立,19,×,×,×,,,,1,1,0,,,,,2
東灘区,小規模保育事業,甲南やまゆり保育園,私立,19,○,×,○,,,,0,0,0,,,,,0
東灘区,小規模保育事業,京進のほいくえんHOPPA東灘園,私立,12,○,×,○,,,,0,0,0,,,,,0
北神地区,幼保連携型認定こども園,幼保連携型　明照認定こども園,私立,120*,×,×,×,×,×,×,2,2,0,1,1,0,,6
北神地区,幼保連携型認定こども園,幼保連携型　つきかげ認定こども園,私立,60*,×,×,×,×,×,×,2,2,2,2,0,0,,8
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　星の杜こども園,私立,80*,○,×,×,×,×,○,1,0,1,0,0,0,,2
