地区,分類,施設名,組織,利用定員（２・３号）,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
東灘区,小規模保育事業,（仮称）しんきエンジェルハート保育園,私立,19,0,0,0,,,,,0
東灘区,小規模保育事業,（仮称）甲南やまゆり保育園,私立,19,0,0,0,,,,,0
東灘区,小規模保育事業,（仮称）京進のほいくえんHOPPA東灘園,私立,12,0,0,0,,,,,0
北神地区,幼保連携型認定こども園,幼保連携型　明照認定こども園,私立,130*,2,1,1,0,0,0,,4
北神地区,幼保連携型認定こども園,幼保連携型　つきかげ認定こども園,私立,60*,4,17,5,4,1,3,,34
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　星の杜こども園,私立,80*,1,4,6,2,3,0,,16
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　キッズキャンパス,私立,80*,2,13,3,7,1,2,,28
北神地区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　八多保育園,私立,140,3,10,3,3,2,3,,24
北神地区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　星の子保育園,私立,150*,3,14,3,0,3,1,,24
北神地区,幼稚園型認定こども園,認定こども園　六甲藤原台幼稚園,私立,70*,,,0,4,3,2,,9
北神地区,保育所,からと保育所,公立,100,0,1,0,2,1,1,,5
北神地区,保育所,道場保育園,私立,90,3,1,2,1,1,1,,9
北神地区,保育所,有馬保育園,私立,110,4,1,3,2,1,0,,11
北神地区,保育所,大池保育園,私立,70,5,3,4,2,2,1,,17
北神地区,保育所,ひとみ保育園,私立,120,4,4,1,0,1,0,,10
北神地区,保育所,オリンピア神戸北保育園,私立,130,1,5,1,2,2,0,,11
北神地区,家庭的保育事業,岡田　赤ちゃんホーム,私立,5,0,,,,,,,0
北神地区,小規模保育事業,いつくしみ愛児園,私立,19,0,2,1,,,,,3
北神地区,小規模保育事業,しんてつ・おかば園,私立,12,,0,0,,,,,0
北神地区,小規模保育事業,パンダこうとく保育園,私立,12,0,0,0,,,,,0
北神地区,小規模保育事業,（仮称）かがやき保育園,私立,12,0,0,0,,,,,0
北神地区,小規模保育事業,（仮称）こぐまプリスクール北神戸園,私立,16,0,0,0,,,,,0
北神地区,事業所内保育事業,いちご保育園（恒生病院）,私立,19（内地域枠5）,0,0,0,,,,,0
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　宝地院保育園,私立,130*,7,14,4,6,1,0,,32
兵庫区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　大同保育園,私立,150*,2,7,0,2,0,1,,12
兵庫区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　モーツァルト兵庫こども園,私立,90*,6,21,12,5,2,0,,46
兵庫区,幼保連携型認定こども園,（仮称）米田学園　認定こども園　神港みどり幼稚園,私立,30*,,,,3,0,0,,3
兵庫区,保育所,運南保育所,公立,54,,0,0,1,1,1,,3
兵庫区,保育所,松原保育所,公立,120,1,8,1,1,1,0,,12
兵庫区,保育所,羽坂保育所,公立,106,4,6,0,2,2,0,,14
兵庫区,保育所,平野保育所,公立,124,1,6,0,3,0,0,,10
兵庫区,保育所,小河保育所,公立,73,2,3,1,1,0,0,,7
兵庫区,保育所,ゆりかご保育園,私立,90,0,7,0,2,0,0,,9
兵庫区,保育所,本願寺派湊川保育園,私立,60,0,6,0,1,0,0,,7
兵庫区,保育所,神徳館保育所,私立,70,3,8,1,1,0,0,,13
兵庫区,保育所,ルンビニー愛児園,私立,90,0,4,1,0,0,0,,5
兵庫区,保育所,ちびくろ保育園,私立,60,1,5,1,0,0,0,,7
兵庫区,保育所,御崎保育所,私立,100,0,4,1,1,0,0,,6
兵庫区,保育所,兵庫保育園,私立,90,3,5,0,3,0,0,,11
兵庫区,家庭的保育事業,平岡　赤ちゃんホーム,私立,5,1,,,,,,,1
兵庫区,家庭的保育事業,藪本　赤ちゃんホーム,私立,5,0,,,,,,,0
兵庫区,家庭的保育事業,久留島家庭託児所,私立,3,,0,0,,,,,0
兵庫区,小規模保育事業,モーツァルト兵庫駅ナカ小規模保育園,私立,19,1,2,2,,,,,5
兵庫区,小規模保育事業,小規模保育園　めいせい,私立,12,0,1,0,,,,,1
兵庫区,小規模保育事業,小規模保育　おはな保育園,私立,19,,0,0,,,,,0
兵庫区,小規模保育事業,宝地院保育園ふたば,私立,19,0,1,0,,,,,1
北区,幼保連携型認定こども園,認定こども園　このみ保育園,私立,70*,3,3,2,1,0,0,,9
北区,幼保連携型認定こども園,幼保連携型認定こども園　星和台幼稚園,私立,90*,,0,3,0,0,0,,3
北区,幼保連携型認定こども園,幼保連携型認定こども園　五葉幼稚園,私立,100*,,2,2,3,0,0,,7
