地区,分類,施設名,組織,利用定員（２・３号）,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　夢の森,私立,60*,1,0,2,0,3,0,,6
垂水区,幼保連携型認定こども園,幼保連携型　おとぎ認定こども園,私立,120*,3,10,6,2,2,1,,24
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　花の森,私立,80*,4,11,5,7,3,0,,30
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　心の森,私立,60*,2,7,2,1,0,0,,12
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　明舞幼稚園,私立,70*,,1,3,0,3,1,,8
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　塩屋幼稚園,私立,80*,,3,7,10,5,0,,25
垂水区,幼保連携型認定こども園,（仮称）幼保連携型小束山認定こども園,私立,120*,2,14,9,2,1,1,,29
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　桃の木幼稚園,私立,120*,8,23,3,13,2,4,,53
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　上高丸,私立,70*,0,7,9,0,2,0,,18
垂水区,幼稚園型認定こども園,認定こども園　霞ヶ丘幼稚園,私立,50*,,,2,8,3,0,,13
垂水区,幼稚園型認定こども園,認定こども園　湊川短期大学附属神陵台幼稚園,私立,30*,,,,2,1,0,,3
垂水区,幼稚園型認定こども園,認定こども園　湊川短期大学附属西舞子幼稚園,私立,50*,,,4,3,0,0,,7
垂水区,幼稚園型認定こども園,（仮称）認定こども園　聖マリアの園幼稚園,私立,10*,,,,1,1,0,,2
垂水区,保育所,奥ノ池保育所,公立,98,0,1,3,1,0,0,,5
垂水区,保育所,星陵台保育所,公立,57,,0,0,0,0,0,,0
垂水区,保育所,本多聞保育所,公立,141,4,12,4,5,0,0,,25
垂水区,保育所,川原保育所,公立,116,3,8,1,3,0,1,,16
垂水区,保育所,東高丸保育所,公立,56,,0,0,0,0,1,,1
垂水区,保育所,向陽保育所,公立,124,1,4,2,1,0,1,,9
垂水区,保育所,舞子保育園,私立,130,0,12,3,4,1,2,,22
垂水区,保育所,歌敷山保育園,私立,70,2,10,1,4,0,1,,18
垂水区,保育所,東垂水保育園,私立,60,1,3,2,0,0,0,,6
垂水区,保育所,塩屋保育園,私立,60,1,7,1,1,0,0,,10
垂水区,保育所,滝の茶屋保育園,私立,90,2,8,4,0,0,0,,14
垂水区,保育所,学が丘保育園　　※分園を含む,私立,200,0,10,2,3,1,0,,16
垂水区,保育所,たるみ保育園,私立,140,1,33,0,6,2,1,,43
垂水区,保育所,ドレミキッズ保育園,私立,60,0,14,7,3,0,0,,24
垂水区,保育所,千鳥が丘親和保育園,私立,120,1,7,1,0,0,0,,9
垂水区,保育所,ことぶき保育園,私立,90,0,8,0,0,0,1,,9
垂水区,保育所,ひとまる保育園,私立,90,2,13,2,3,0,0,,20
垂水区,保育所,かすみがおか虹保育園,私立,90,3,17,6,5,3,1,,35
垂水区,保育所,たけの保育園　　※分園を含む,私立,80,1,9,2,0,0,0,,12
垂水区,保育所,かすが保育園,私立,90,6,7,4,9,0,2,,28
垂水区,保育所,多聞台保育園,私立,100,3,14,6,6,2,0,,31
垂水区,保育所,たかつか保育園,私立,60,2,7,2,3,0,0,,14
垂水区,家庭的保育事業,岩崎　赤ちゃんホーム,私立,5,1,0,0,,,,,1
垂水区,家庭的保育事業,藤田赤ちゃんホームひまわり,私立,5,1,,,,,,,1
垂水区,家庭的保育事業,きたぐち　赤ちゃんホーム,私立,4,0,,,,,,,0
垂水区,家庭的保育事業,井口　赤ちゃんホームinジェームス山,私立,4,1,,,,,,,1
垂水区,家庭的保育事業,はやし赤ちゃんホームｉｎ五色山,私立,5,1,0,0,,,,,1
垂水区,家庭的保育事業,大塚　赤ちゃんホーム,私立,5,0,,,,,,,0
垂水区,小規模保育事業,ちっちゃなこども園ふたば,私立,12,1,0,0,,,,,1
垂水区,小規模保育事業,本多聞小規模保育園,私立,12,0,0,0,,,,,0
垂水区,小規模保育事業,青山台小規模保育園,私立,12,0,0,0,,,,,0
垂水区,小規模保育事業,虹っこひろば,私立,12,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園　たるみ駅ナカ,私立,19,,2,1,,,,,3
垂水区,小規模保育事業,垂水駅前小規模保育園,私立,19,0,1,0,,,,,1
垂水区,小規模保育事業,つくし,私立,19,,2,1,,,,,3
垂水区,小規模保育事業,小規模保育園CHES（チェス）,私立,12,0,0,0,,,,,0
垂水区,小規模保育事業,ハープキッズ,私立,12,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園さくら,私立,19,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園KOBILS,私立,12,1,4,1,,,,,6
垂水区,小規模保育事業,小規模保育事業　花の森,私立,12,0,2,0,,,,,2
垂水区,小規模保育事業,キッズブライト・ナーサリー垂水,私立,12,0,4,0,,,,,4
垂水区,小規模保育事業,ちっちゃなこども園よつば,私立,19,0,1,3,,,,,4
垂水区,小規模保育事業,（仮称）小規模保育園ちゃいるどるーむ,私立,19,0,1,0,,,,,1
垂水区,事業所内保育事業,いるか保育園,私立,12（内地域枠4）,0,0,1,,,,,1
垂水区,事業所内保育事業,（仮称）オービーホームキッズ,私立,12（内地域枠5）,0,0,0,,,,,0
垂水区,事業所内保育事業,（仮称）ハートランド・きっず,私立,26（内地域枠7）,0,0,0,,,,,0
