分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計,
小規模保育事業,ハープキッズ,私立,12,×,×,○,,,,0,0,0,,,,,0,
小規模保育事業,小規模保育園さくら,私立,19,×,×,×,,,,1,1,0,,,,,2,
小規模保育事業,小規模保育園KOBILS,私立,12,×,×,×,,,,0,0,0,,,,,0,
小規模保育事業,小規模保育事業　花の森,私立,12,×,×,○,,,,0,0,0,,,,,0,
小規模保育事業,キッズブライト・ナーサリー垂水,私立,19,×,×,×,,,,0,0,0,,,,,0,
小規模保育事業,ちっちゃなこども園よつば,私立,19,×,×,×,,,,0,0,1,,,,,1,
小規模保育事業,小規模保育園ちゃいるどるーむ,私立,19,○,○,○,,,,0,0,0,,,,,0,
事業所内保育事業,いるか保育園,私立,12（内地域枠4）,×,×,×,,,,1,0,0,,,,,1,
事業所内保育事業,オービーホームキッズ,私立,12（内地域枠5）,○,○,○,,,,0,0,0,,,,,0,
事業所内保育事業,ハートランド・きっず,私立,25（内地域枠10）,×,×,×,,,,0,1,0,,,,,1,
