page,key,value
0,title,保育所・認定こども園
0,title,地域型保育事業
0,title,（家庭的保育事業・小規模保育事業・事業所内保育事業）
0,title,施設一覧
0,title,（２号・３号認定子ども用）
2,所在区,東灘区
3,所在区,灘区
4,所在区,中央区
5,所在区,兵庫区
6,所在区,北区
7,所在区,長田区
8,所在区,須磨区
9,所在区,垂水区
10,所在区,西区
2,※１,幼保連携型認定こども園　夢遊喜分園の対象児童は、４・５歳児です。（本園の対象児童は、０～３歳児です。）
2,※２,（仮称）光の子認定こども園マナ分園及びリジョイス分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
2,※３,住吉むつみ保育園分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
3,※１,幼保連携型認定こども園　光愛児園SUN分園の対象児童は、０～２歳児です。（本園の対象児童は、３歳児以降です。）
3,※２,幼保連携型　めばえの園認定こども園すみれ分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
4,※,二宮保育所は、平成31年３月末に公立保育所としては閉所し、中央区二宮町１丁目に平成31年４月１日に開園する私立保育所に運営を引継ぐ予定です。
6,※,谷上保育園きらら分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
7,※,天隣乳児保育園（三番町４－８）は、平成２９年４月より神視保育園と統合します。
8,※１,（仮称）幼保連携型認定こども園　東須磨愛児園分園の対象児童は、０～２歳児です。（本園の対象児童は、３歳児以降です。）
8,※２,（仮称）幼保連携型認定こども園　村雨こども園愛分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
9,※１,（仮称）幼保連携型認定こども園　たけのこども園そら分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
9,※２,学が丘保育園分園の対象児童は、５歳児です。（本園の対象児童は、０～４歳児です。）
10,※１,幼保連携型認定こども園　岩岡こども園分園の対象児童は、４・５歳児です。（本園の対象児童は、０～３歳児です。）
10,※２,幼保連携型認定こども園　YMCA保育園おひさま分園の対象児童は、０～２歳児です。（本園の対象児童は、３歳児以降です。）
10,※３,幼保連携型認定こども園　同朋にこにこ保育園分園なのはなの対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
10,※４,（仮称）出合保育園分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
10,※５,なかよし保育園ふれんど分園の対象児童は、０～３歳児です。（本園の対象児童は、４歳児以降です。）
10,※６,井吹北つぐみ保育園分園の対象児童は、０・１歳児です。（本園の対象児童は、２歳児以降です。）
