page,key,value
0,title,私立幼稚園・認定こども園　施設一覧
0,title,（１号認定子ども等用）
2,※,幼保連携型認定こども園夢遊喜分園の対象児童は、４・５歳児です。（本園の対象児童は、０～３歳児です。）
