page,key,value
1,title,保育所・認定こども園
1,title,地域型保育事業
1,title,（家庭的保育事業・小規模保育事業・事業所内保育事業）
1,title,施設一覧
1,title,（２号・３号認定子ども用）
1,title,平成28年4月1日時点
2,所在区,東灘区
3,所在区,灘区
4,所在区,中央区
5,所在区,兵庫区
6,所在区,北区
7,所在区,長田区
8,所在区,須磨区
9,所在区,垂水区
10,所在区,西区
2,※１,認定こども園夢は、０～３歳児を全員本園で、４・５歳児を全員夢遊喜分園で、教育・保育を行います。
2,※２,光の子保育園マナ分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
2,※３,住吉むつみ保育園分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
3,※１,光愛児園SUN分園の対象児童は、０～２歳児です。（３歳児以降は、本園で保育を行います。）
3,※２,幼保連携型　めばえの園認定こども園すみれ分園の対象児童は、０・１歳児の予定です。（２歳児以降は、本園で保育を行います。）
4,※,二宮保育所は、平成31年３月末に公立保育所としては閉所し、中央区二宮町１丁目に平成31年４月１日に開園する私立保育所に運営を引継ぐ予定です。
6,※,谷上保育園きらら分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
7,※,認定こども園　名倉幼稚園は園舎建て替え工事のため仮園舎(兵庫区菊水町10-39-22)で教育・保育を行います。園舎完成後、幼保連携型認定こども園に移行予定です。
8,※１,東須磨愛児園は、０～２歳児を全員分園で、３歳児以降を全員本園で、保育を行います。
8,※２,村雨保育園愛分園の対象児童は、０，１歳児です。（２歳児以降は、本園で保育を行います。）
9,※１,学が丘保育園は、０～４歳児を全員本園で、５歳児を全員分園で、保育を行います。
9,※２,たけの保育園は、０・１歳児を全員そら分園で、２歳児以降を全員本園で、保育を行います。
10,※１,認定こども園　岩岡こども園は、０～３歳児を本園で、４・５歳児を分園で、教育・保育を行います。
10,※２,認定こども園　YMCA保育園おひさま分園の対象児童は、０～２歳児です。（３歳児以降は、本園で教育・保育を行います。）
10,※３,同朋にこにこ保育園分園なのはなの対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
10,※４,なかよし保育園ふれんど分園の対象児童は、０～３歳児です。（４歳児以降は、本園で保育を行います。）
10,※５,井吹北つぐみ保育園は、０・１歳児を全員分園で、２歳児以降を全員本園で、保育を行います。
