page,key,value
0,title,私立幼稚園・認定こども園　施設一覧
0,title,（１号認定子ども等用）
3,※,認定こども園　名倉幼稚園は園舎建て替え工事のため、仮園舎(兵庫区菊水町10-39-22)で教育・保育を行います。園舎完成後、幼保連携型認定こども園に移行予定です。
