page,key,value
0,title,私立幼稚園・認定こども園
0,title,H29年度施設一覧（予定）
0,title,（１号認定子ども等用）
2,※,幼保連携型認定こども園　夢は０～３歳児を全員本園で、４・５歳児を夢遊喜分園で、教育・保育を行います。
