context,name,address,lat,lng
kokoron,豊岡市立出石家老屋敷,〒668-0214 兵庫県豊岡市出石町内町98番地の9,35.461833,134.872861
kokoron,豊岡市立出石史料館,豊岡市日高町祢布808,,
kokoron,豊岡市立出石明治館,豊岡市出石町魚屋50番地,,
kokoron,豊岡市立竹野北前館（資料展示室）,兵庫県豊岡市竹野町竹野50-12,,
kokoron,豊岡市立歴史博物館,〒669-5305 兵庫県豊岡市日高町祢布808,,
kokoron,豊岡市立出石永楽館,〒668-0234 兵庫県豊岡市出石町柳17-2,,
kokoron,玄武洞ミュージアム,〒668-0801 兵庫県豊岡市赤石1362,,
kokoron,養父市立山田風太郎記念館,〒667-1105 兵庫県養父市関宮605-1,,
kokoron,養父市立上垣守国養蚕記念館,兵庫県養父市大屋町蔵垣246-2,,
kokoron,あゆ公園　魚の王国,〒667－0315 兵庫県養父市大屋町加保５８２,,
kokoron,妙見山資料宝物館,養父市八鹿町石原450 日光院内,,
kokoron,朝来市和田山郷土歴史館,朝来市和田山町寺内123番地,,
kokoron,朝来市朝来歴史民俗資料館,〒679-3423 兵庫県朝来市多々良木724,,
kokoron,ムーセハウス写真館,朝来市佐嚢1826番地の1,,
kokoron,朝来市立埋蔵文化財センター「古代あさご館」,〒669-5153　朝来市山東町大月91番地2,,
kokoron,あさご芸術の森美術館－淀井敏夫記念館－,〒679-3423 兵庫県朝来市多々良木739-3,35.2385,134.829917
kokoron,香美町立村岡民俗資料館「まほろば」,香美町村岡区村岡２３２４－１,,
kokoron,おもしろ昆虫化石館,兵庫県美方郡新温泉町千谷850,,
kokoron,丹波伝統工芸公園・立杭陶の郷,〒669-2135 兵庫県篠山市今田町上立杭3,,
kokoron,丹波市立青垣いきものふれあいの里,〒669-3892 兵庫県丹波市青垣町佐治114番地,,
kokoron,丹波市立丹波布伝承館,　丹波市青垣町西芦田541－1（道の駅あおがき内）,,
kokoron,南あわじ市淡路人形浄瑠璃資料館,〒656-0475 南あわじ市市三条880（三原図書館2階）,,
kokoron,うずの丘大鳴門橋記念館　うずしお科学館,〒656-0503　兵庫県南あわじ市福良丙936-3,,
kokoron,淡路市北淡歴史民俗資料館,淡路市浅野南240,,
